K2T35,25711.269,52152.493,38.916
K2T36,25709.638,52146.348,39.067
K2T8,25711.573,52146.921,39.054
K2T10,25709.633,52146.353,39.071
K2T37,25679.411,52146.290,39.115
K2T38,25671.795,52158.143,38.994
K2T39,25646.273,52163.271,39.024
K2T40,25660.304,52146.483,39.876
K2S1,25677.453,52153.213,39.293
K2S2,25668.935,52165.123,39.555
K2S3,25660.922,52173.409,39.481
K2S4,25674.989,52146.430,39.471
K2S5,25668.321,52148.217,39.629
K2S6,25667.705,52158.702,39.347
K2T41,25678.796,52151.387,39.279
K2T42,25677.051,52176.044,39.267
K2T43,25712.980,52152.086,39.224
K2T44,25695.935,52173.678,39.141
K2T45,25678.435,52173.461,39.128
K2T46,25670.322,52156.968,39.031
K2T47,25648.793,52161.758,39.276
K2T48,25657.803,52136.317,39.470
K2T49,25688.463,52130.477,39.701
K2T50,25697.454,52130.661,39.761
K2T51,25714.793,52153.116,38.862
K2T52,25714.418,52172.388,38.847
K2T53,25734.553,52153.384,38.856
K2T54,25739.723,52152.397,39.344
K2T55,25711.093,52169.588,38.897
K6,25721.900,52210.076,39.000
K6,25721.900,52210.076,39.000
K6,25721.900,52210.076,39.000
K2,25688.954,52162.176,38.926
K6T56,25709.602,52195.888,38.985
K6T57,25709.325,52214.435,38.950
K6T58,25741.030,52196.304,39.008
K6T59,25713.995,52195.945,38.967
K6T60,25710.947,52189.610,38.789
K6T61,25714.095,52189.653,38.759
K6T62,25716.541,52194.060,39.197
K6T63,25707.151,52214.590,38.975
K6T64,25707.126,52221.989,38.980
K6T65,25701.146,52214.462,38.886
K6T66,25701.633,52189.462,38.832
K6T67,25707.950,52215.573,39.010
K6T68,25741.891,52216.056,39.105
K6T69,25742.278,52195.496,39.182
K6T70,25704.860,52195.691,39.241
K6T71,25704.138,52210.922,39.108
K6T72,25702.795,52199.776,39.146
K6T73,25705.205,52194.634,39.203
K6T74,25745.793,52200.996,38.841
K6T75,25751.828,52204.757,38.829
K6T76,25757.451,52195.737,38.837
K6T77,25751.936,52195.842,38.802
